,title,release_date,categories,sub_categories,price,img_url,desc,rating,reviews_count
23,DOTA 2,"JUL 10, 2013",Role-Playing;Strategy;,Multiplayer;,0,https://cdn.cloudflare.steamstatic.com/steam/apps/570/header.jpg?t=1697142820,dummy desc,4,"2,077,406"
24,CYBERPUNK 2077: PHANTOM LIBERTY,"SEP 26, 2023",Role-Playing;,Open World;,"495.000,00",https://cdn.cloudflare.steamstatic.com/steam/apps/2138330/header_alt_assets_1.jpg?t=1695740414,dummy desc,4,"9,431"
25,WARFRAME,,Role-Playing;Action;,Action RPG;Third-Person Shooter;,0,https://cdn.cloudflare.steamstatic.com/steam/apps/230410/header.jpg?t=1697647667,dummy desc,4,"546,660"
26,DESTINY 2,"OCT 2, 2019",Role-Playing;,Open World;,0,https://cdn.cloudflare.steamstatic.com/steam/apps/1085660/header.jpg?t=1696977153,dummy desc,4,"567,900"
27,STARFIELD,"SEP 6, 2023",Role-Playing;,Space;Singleplayer;Open World;,"1.290.000,00",https://cdn.cloudflare.steamstatic.com/steam/apps/1716740/header.jpg?t=1696622369,dummy desc,3,"70,350"
28,EURO TRUCK SIMULATOR 2,"OCT 13, 2012",Simulation;,Open World;,"70.000,00",https://cdn.cloudflare.steamstatic.com/steam/apps/227300/header.jpg?t=1697795373,dummy desc,5,"503,155"
29,WAR THUNDER,"AUG 15, 2013",Simulation;,,0,https://cdn.cloudflare.steamstatic.com/steam/apps/236390/header.jpg?t=1695124816,dummy desc,3,"406,236"
30,SID MEIER’S CIVILIZATION® VI,"OCT 21, 2016",Simulation;Strategy;,Turn-Based Strategy;Multiplayer;Singleplayer;,"70.500,00",https://cdn.cloudflare.steamstatic.com/steam/apps/289070/header.jpg?t=1680898825,dummy desc,4,"204,699"
31,AMERICAN TRUCK SIMULATOR,"FEB 3, 2016",Simulation;,Open World;,"70.000,00",https://cdn.cloudflare.steamstatic.com/steam/apps/270880/header.jpg?t=1696680487,dummy desc,5,"109,795"
32,MADDEN NFL 24,"AUG 18, 2023",Simulation;Strategy;,,"708.500,00",https://cdn.cloudflare.steamstatic.com/steam/apps/2140330/header_alt_assets_0.jpg?t=1697663473,dummy desc,1,"2,149"
33,NBA 2K24,"SEP 7, 2023",Simulation;,,"600.000,00",https://cdn.cloudflare.steamstatic.com/steam/apps/2338770/header.jpg?t=1697814723,dummy desc,0,"8,327"
34,BLACK DESERT,"SEP 6, 2023",Simulation;,Open World;,"24.000,00",https://cdn.cloudflare.steamstatic.com/steam/apps/582660/header.jpg?t=1697738750,dummy desc,3,"50,197"
35,HEARTS OF IRON IV,"JUN 6, 2016",Simulation;Strategy;,,"400.000,00",https://cdn.cloudflare.steamstatic.com/steam/apps/394360/header.jpg?t=1695630955,dummy desc,4,"181,052"
36,ROCKSMITH® 2014 EDITION - REMASTERED,"OCT 4, 2016",Simulation;,,"495.000,00",https://cdn.cloudflare.steamstatic.com/steam/apps/221680/header.jpg?t=1680012658,dummy desc,4,"12,818"
37,ENDLESS™ DUNGEON,"OCT 19, 2023",Strategy;Action;,Tower Defense;Action RPG;,"577.000,00",https://cdn.cloudflare.steamstatic.com/steam/apps/1485590/header.jpg?t=1697819559,dummy desc,2,"1,037"
38,WORLD OF HORROR,"OCT 20, 2023",Strategy;Horror;,,"195.000,00",https://cdn.cloudflare.steamstatic.com/steam/apps/913740/header.jpg?t=1697736391,dummy desc,4,"5,899"
39,DIVINITY: ORIGINAL SIN 2 - DEFINITIVE EDITION,"SEP 14, 2017",Strategy;,Turn-Based Strategy;,"140.000,00",https://cdn.cloudflare.steamstatic.com/steam/apps/435150/header.jpg?t=1668591196,dummy desc,5,"148,381"
40,THE FRONT,"OCT 11, 2023",Strategy;Survival;,,"260.000,00",https://cdn.cloudflare.steamstatic.com/steam/apps/2285150/header.jpg?t=1697602868,dummy desc,2,"3,306"
41,AGE OF EMPIRES II: DEFINITIVE EDITION,"NOV 14, 2019",Strategy;,Multiplayer;,"300.000,00",https://cdn.cloudflare.steamstatic.com/steam/apps/813780/header.jpg?t=1697476955,dummy desc,4,"116,466"
42,RIMWORLD,"OCT 17, 2018",Strategy;Survival;,,"350.000,00",https://cdn.cloudflare.steamstatic.com/steam/apps/294100/header.jpg?t=1676391313,dummy desc,5,"142,636"
43,STELLARIS,"MAY 9, 2016",Strategy;,Space;,"400.000,00",https://cdn.cloudflare.steamstatic.com/steam/apps/281990/header.jpg?t=1697727594,dummy desc,4,"108,805"
44,THE JACKBOX PARTY PACK 10,"OCT 19, 2023",Strategy;Casual;,Multiplayer;,"445.000,00",https://cdn.cloudflare.steamstatic.com/steam/apps/2216830/header.jpg?t=1697842000,dummy desc,2,125
45,EXPANSION - HEARTS OF IRON IV: ARMS AGAINST TYRANNY,"OCT 10, 2023",Strategy;Simulation;,,"245.000,00",https://cdn.cloudflare.steamstatic.com/steam/apps/2183930/header.jpg?t=1697012483,dummy desc,3,978
46,FORZA HORIZON 5,"NOV 9, 2021",Sports & Racing;Racing;,Open World;Multiplayer;,"990.000,00",https://cdn.cloudflare.steamstatic.com/steam/apps/1551360/header.jpg?t=1696957522,dummy desc,4,"131,679"
47,FORZA MOTORSPORT,"OCT 10, 2023",Sports & Racing;Racing;Simulation;,,"1.290.000,00",https://cdn.cloudflare.steamstatic.com/steam/apps/2440510/header.jpg?t=1697493890,dummy desc,2,"2,667"
48,IRACING,"JAN 13, 2015",Sports & Racing;Racing;Simulation;,,"175.000,00",https://cdn.cloudflare.steamstatic.com/steam/apps/266410/header.jpg?t=1685469538,dummy desc,4,"1,900"
49,ASSETTO CORSA,"DEC 19, 2014",Sports & Racing;Racing;Simulation;,Multiplayer;,"260.000,00",https://cdn.cloudflare.steamstatic.com/steam/apps/244210/header.jpg?t=1686917372,dummy desc,4,"81,639"
50,RIDE 4,"OCT 8, 2020",Sports & Racing;Racing;,Multiplayer;,"96.000,00",https://cdn.cloudflare.steamstatic.com/steam/apps/1259980/header.jpg?t=1681462820,dummy desc,4,"7,286"
51,F1® 23,"JUN 16, 2023",Sports & Racing;Racing;,Multiplayer;,"1.090.000,00",https://cdn.cloudflare.steamstatic.com/steam/apps/2108330/header.jpg?t=1696413810,dummy desc,4,"6,038"
52,ASSETTO CORSA COMPETIZIONE,"MAY 29, 2019",Sports & Racing;Racing;Simulation;,Multiplayer;,"460.000,00",https://cdn.cloudflare.steamstatic.com/steam/apps/805550/header.jpg?t=1694451935,dummy desc,4,"18,773"
53,FISHING PLANET,"AUG 28, 2017",Sports & Racing;Simulation;,Multiplayer;,0,https://cdn.cloudflare.steamstatic.com/steam/apps/380600/header.jpg?t=1697709836,dummy desc,4,"48,419"
54,RUSSIAN FISHING 4,"NOV 11, 2021",Sports & Racing;Simulation;,Multiplayer;,0,https://cdn.cloudflare.steamstatic.com/steam/apps/766570/header.jpg?t=1697013422,dummy desc,3,"34,669"
55,PARTY ANIMALS,"SEP 20, 2023",Casual;,Multiplayer;,"310.000,00",https://cdn.cloudflare.steamstatic.com/steam/apps/1260320/header.jpg?t=1697003851,dummy desc,2,"18,739"
56,THE SIMS™ 4,"JUN 19, 2020",Casual;,,0,https://cdn.cloudflare.steamstatic.com/steam/apps/1222670/header.jpg?t=1695920644,dummy desc,4,"114,515"
